date,temperature
2025-11-04T23:25:00+02:00,47.68
2025-11-04T23:35:00+02:00,51.25
2025-11-04T23:45:00+02:00,49.39
2025-11-04T23:49:02+02:00,47.15
2025-11-04T23:49:12+02:00,46.16
2025-11-04T23:49:22+02:00,49.33
2025-11-04T23:49:32+02:00,46.18
2025-11-04T23:49:43+02:00,47.26
2025-11-04T23:49:52+02:00,51.75
2025-11-04T23:50:03+02:00,51.68
2025-11-04T23:50:12+02:00,48.74
2025-11-04T23:50:23+02:00,47.3
2025-11-04T23:50:32+02:00,46.57
2025-11-04T23:50:42+02:00,48.21
2025-11-04T23:50:53+02:00,49.28
2025-11-04T23:51:02+02:00,48.18
2025-11-04T23:51:12+02:00,50.36
2025-11-04T23:51:22+02:00,50.71
2025-11-04T23:51:32+02:00,48.79
2025-11-04T23:51:43+02:00,48.16
2025-11-04T23:51:52+02:00,51.46
2025-11-04T23:52:02+02:00,49.56
2025-11-04T23:52:12+02:00,52.96
2025-11-04T23:52:23+02:00,52.32
2025-11-04T23:52:33+02:00,48.94
2025-11-04T23:52:42+02:00,47.48
2025-11-04T23:52:53+02:00,51.19
2025-11-04T23:53:03+02:00,52.36
2025-11-04T23:53:13+02:00,51.8
2025-11-04T23:53:23+02:00,49.07
2025-11-04T23:53:33+02:00,52.83
2025-11-04T23:53:43+02:00,51.67
2025-11-04T23:53:53+02:00,51.16
2025-11-04T23:54:03+02:00,46.89
2025-11-04T23:54:13+02:00,46.0
2025-11-04T23:54:23+02:00,52.16
2025-11-04T23:54:33+02:00,50.04
2025-11-04T23:54:43+02:00,50.97
2025-11-04T23:54:53+02:00,46.72
2025-11-04T23:55:03+02:00,48.79
2025-11-04T23:55:13+02:00,51.78
2025-11-04T23:55:23+02:00,47.31
2025-11-04T23:55:33+02:00,47.21
2025-11-04T23:55:43+02:00,52.83
2025-11-04T23:55:53+02:00,46.54
2025-11-04T23:56:03+02:00,50.6
2025-11-04T23:56:13+02:00,50.58
2025-11-04T23:56:23+02:00,47.9
2025-11-04T23:56:33+02:00,52.42
2025-11-04T23:56:43+02:00,50.44
2025-11-04T23:56:53+02:00,51.71
2025-11-04T23:57:03+02:00,49.07
2025-11-04T23:57:13+02:00,52.53
2025-11-04T23:57:23+02:00,52.71
2025-11-04T23:57:33+02:00,48.25
2025-11-04T23:57:43+02:00,48.7
2025-11-04T23:57:53+02:00,49.42
2025-11-04T23:58:03+02:00,52.59
2025-11-04T23:58:13+02:00,46.59
2025-11-04T23:58:23+02:00,47.17
2025-11-04T23:58:33+02:00,50.14
2025-11-04T23:58:43+02:00,47.31
2025-11-04T23:58:53+02:00,48.8
2025-11-04T23:59:03+02:00,46.08
2025-11-04T23:59:13+02:00,51.66
2025-11-04T23:59:23+02:00,50.63
2025-11-04T23:59:33+02:00,50.25
2025-11-04T23:59:43+02:00,50.01
2025-11-04T23:59:53+02:00,51.83
2025-11-05T00:00:03+02:00,48.98
2025-11-05T00:00:13+02:00,46.22
2025-11-05T00:00:23+02:00,49.43
2025-11-05T00:00:33+02:00,52.21
2025-11-05T00:00:43+02:00,46.27
2025-11-05T00:00:53+02:00,47.98
2025-11-05T00:01:03+02:00,47.01
2025-11-05T00:01:13+02:00,49.07
2025-11-05T00:01:23+02:00,50.26
2025-11-05T00:01:33+02:00,48.11
2025-11-05T00:01:43+02:00,48.14
2025-11-05T00:01:53+02:00,49.36
2025-11-05T00:02:03+02:00,49.53
2025-11-05T00:02:13+02:00,51.41
2025-11-05T00:02:23+02:00,50.06
2025-11-05T00:02:33+02:00,51.46
2025-11-05T00:02:43+02:00,52.17
2025-11-05T00:02:53+02:00,50.26
2025-11-05T00:03:03+02:00,49.26
2025-11-05T00:03:13+02:00,50.05
2025-11-05T00:03:23+02:00,52.89
2025-11-05T00:03:33+02:00,49.21
2025-11-05T00:03:43+02:00,50.17
2025-11-05T00:03:53+02:00,46.6
